paper,chunk_id,text,characters
paper1,32,"membranes is facilitated by hormone-dependent development of gap 
junctions, which form low-resistance electrical pathways within the 
myometrium [3].
The frequency of action potential discharges, the number of myome-
trial cells activated simultaneously, and the duration of each discharge 
determine the frequency, amplitude, and duration of uterine contrac-
tions [20]. The force generated by the uterus depends on the propaga-
tion extent of action potentials, reflected in the spectral characteristics 
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
3 
K. Barnova et al.
Table 1
Areas of interest covered by existing review articles on EHG.
 Author, year
Year range
covered
UC
charact.
Noise
charact.
Electrodes
layout
Public
datasets
Evaluat.
metrics
Signal
process.
AI/ML
Feature
relevance
Main focus
 
 Devedeux et al. [21]
(1993)
1950–1992
✓✓




✓


Physiological EHG 
overview
 
 Vinken et al. [16]
(2009)
1979–2008
✓✓

✓

✓
✓

✓✓
Frequency-domain 
parameters linked",993
paper1,33,"Main focus
 
 Devedeux et al. [21]
(1993)
1950–1992
✓✓




✓


Physiological EHG 
overview
 
 Vinken et al. [16]
(2009)
1979–2008
✓✓

✓

✓
✓

✓✓
Frequency-domain 
parameters linked 
to preterm birth
 
 Casado et al. [18]
(2018)
1998–2017
✓
✓
✓


✓
✓✓
✓✓
Overview 
of features and
classifiers
for preterm birth
 
 Vlemminx et al. [8]
(2018)
2003–2018
✓✓
✓
✓

✓
✓

✓
Clinical evaluation 
of EHG vs. 
TOCO/IUPC
 
 Huber et al. [20]
(2019)
1950–2018
✓✓
✓
✓


✓


Clinical feasibility 
and practical 
aspects of EHG
 
 Jossou et al. [17]
(2021)
1984–2020


✓✓





Electrode design, 
artifact reduction
 
 Xu et al. [19]
(2021)
2008–2021
✓
✓
✓
✓

✓
✓✓
✓✓
Features 
and models 
overview
for preterm birth
 
 Liu et al. [22]
(2024)
2000–2024


✓


✓
✓

Wearable/AI 
overview
covering multiple
sensing modalities
 
 Preset study
2010–2025
✓✓
✓✓
✓✓
✓✓
✓✓
✓✓
✓✓
✓✓
Comprehensive
overview 
integrating
clinical insights,
data acquisition,
signal processing,
AI/ML application,",995
paper1,34,"covering multiple
sensing modalities
 
 Preset study
2010–2025
✓✓
✓✓
✓✓
✓✓
✓✓
✓✓
✓✓
✓✓
Comprehensive
overview 
integrating
clinical insights,
data acquisition,
signal processing,
AI/ML application,
feature engineering,
interpretability,
clinical translation
 
 — not addressed, ✓— partially addressed, ✓✓— extensive coverage, EHG — electrohysterography, UC — uterine contractions, 
TOCO — tocodynamometry, IUPC — intrauterine pressure catheter, AI — artificial intelligence, ML — machine learning.
of the EHG signal, and on the recruitment of additional muscle cells, 
which influences the signal amplitude [16].
The amplitude of EHG signals ranges from 50 μV–5 mV [14]. 
However, defined frequency ranges for EHG signals vary across the 
literature [4,23]. EHG signals consist of slow waves, resulting from 
abdominal skin stretching, and fast waves, associated with uterine 
muscle activity [23] and are defined as follows:
• Slow waves – According to Devedeux et al. [21], the frequency",990
paper1,35,"abdominal skin stretching, and fast waves, associated with uterine 
muscle activity [23] and are defined as follows:
• Slow waves – According to Devedeux et al. [21], the frequency 
range of slow waves is 0.014–0.033 Hz, while Jezewski et al. [24] 
identified a broader range of 0.03–0.1 Hz.
• Fast waves – Fast waves are further categorized into low-frequency 
and high-frequency bands. Low-frequency waves occur during 
pregnancy and labor, while high-frequency waves are associated 
with effective labor contractions [23].
– Low-Frequency Waves: Vrhovec et al. [25] reported a fre-
quency range of 0.1–1.2 Hz, whereas Khalil et al. [26] 
defined a narrower range of 0.2–0.45 Hz.
– High-Frequency Waves: The range for high-frequency waves 
was determined by Khalil et al. [26] as 0.8–3 Hz, and by 
Vrhovec et al. [25] as 1.2–4.7 Hz.
2.1. Uterine contraction classification
Uterine contractions are a key indicator of labor onset and pro-",939
paper1,36,"was determined by Khalil et al. [26] as 0.8–3 Hz, and by 
Vrhovec et al. [25] as 1.2–4.7 Hz.
2.1. Uterine contraction classification
Uterine contractions are a key indicator of labor onset and pro-
gression, though they occur throughout pregnancy and postpartum. 
During pregnancy and labor, contractions vary in frequency, duration, 
and intensity [27]. In early pregnancy, uterine electrical activity is low 
and uncoordinated, gradually becoming more intense, frequent, and 
synchronous as gestation progresses (see illustration in Fig. 1). While 
mild uterine activity is common throughout pregnancy, painful contrac-
tions before 37 weeks may indicate threatened preterm labor [20]. The 
primary types of uterine contractions, summarized in Table 2, include:
• Alvarez waves – Alvarez waves, defined by Alvarez et al. [28], 
are local, asynchronous contractions occurring randomly in the 
uterus during the first 30 weeks of pregnancy. These contractions",959
paper1,37,"• Alvarez waves – Alvarez waves, defined by Alvarez et al. [28], 
are local, asynchronous contractions occurring randomly in the 
uterus during the first 30 weeks of pregnancy. These contractions 
are characterized by high frequency (1–2 per minute) and low 
intensity [27,29], with a frequency range of 0.2–1 Hz [30]. 
Recent research suggests Alvarez waves may precede more syn-
chronized contractions, potentially leading to preterm labor [23], 
though this link remains debated, with some studies reporting low 
predictive value [29].
• Braxton-Hicks – Braxton-Hicks contractions [31] are irregular, 
localized contractions starting around the 20th week of preg-
nancy. These ‘‘false labor’’ contractions occur infrequently (1 
every 3–4 h) [32] and do not cause cervical dilation. They do not 
increase in frequency, duration, or intensity, and may disappear 
and reappear. After the 36th week, these contractions may inten-
sify, but they still do not signal true labor [23]. Their frequency",997
paper1,38,"increase in frequency, duration, or intensity, and may disappear 
and reappear. After the 36th week, these contractions may inten-
sify, but they still do not signal true labor [23]. Their frequency 
range is not well defined in the literature.
• Early labor contractions — This type of contractions occurs after 
the 36th week but before active labor [23]. These contractions are 
less intense and regular than late labor contractions, occurring at 
a lower frequency (1 every 10 min) and lasting approximately 
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
4 
K. Barnova et al.
Fig. 1. Illustration of the origin and evolution of the electrohysterography (EHG) signal throughout pregnancy. The upper left part of the figure shows the 
physiological source of the EHG: electrical potentials generated by ionic currents across myometrial cell membranes, which initiate mechanical contractions",900
paper1,39,"physiological source of the EHG: electrical potentials generated by ionic currents across myometrial cell membranes, which initiate mechanical contractions 
of the uterine muscle. On the lower right, the development of contraction patterns is illustrated from 13 weeks of pregnancy to delivery, progressing from 
low-amplitude Alvarez waves, through irregular Braxton Hicks contractions, to regular labor contractions. The positions on the maternal abdomen where these 
contractions can be sensed are highlighted on the anatomical illustration, with colors matched to the corresponding recorded signals shown in the waveform 
panels.
20 s. They begin in the uterine fundus and spread downward, 
aiding initial cervical dilation and preparing for active labor [27]. 
Although specific frequency ranges are not well documented, 
values above 0.5 Hz are generally reported for later pregnancy 
stages [30].
• Late labor contractions – Late labor contractions are intense and",971
paper1,40,"values above 0.5 Hz are generally reported for later pregnancy 
stages [30].
• Late labor contractions – Late labor contractions are intense and 
highly synchronized, occurring close to delivery [23]. These 
contractions are more regular, with higher frequency (3 every 
10 min) and longer duration (40–90 s). They are stronger in the 
upper uterus and progress in a coordinated manner throughout, 
achieving simultaneous peak contraction across the uterus. Their 
primary role is full cervical dilation and fetal expulsion [27].
• Long duration low frequency waves (LDBF) — LDBF waves are char-
acterized by long duration (several minutes) and low frequency 
(0–1 Hz) [32,33]. These waves, common in late pregnancy, are 
associated with uterine hypertonicity, where the uterus remains 
contracted without complete relaxation. This can cause uterine 
hypoxia and fetal stress due to compromised blood flow.
• Other contractions — Less well-described contractions include Le-",974
paper1,41,"contracted without complete relaxation. This can cause uterine 
hypoxia and fetal stress due to compromised blood flow.
• Other contractions — Less well-described contractions include Le-
man waves, which are associated with low amplitude [32] and 
low frequency [23]. Contractions may also occur postpartum, 
though they are not yet thoroughly characterized in the literature.
2.2. Noise definition
In addition to uterine contractions, which constitute the useful 
EHG signal, various interfering electrical signals and artifacts are also 
detected from the surface of the pregnant woman’s abdomen. These 
overlapping signals can obscure or distort the EHG and must be ad-
dressed to ensure accurate signal interpretation. The most significant 
interfering signals and artifacts include:
• Maternal ECG – Representing maternal cardiac activity, the mECG 
signal is a prominent component present in all recorded chan-
nels [33,34]. Its frequency range is 0.5–100 Hz [35].",971
paper1,42,"• Maternal ECG – Representing maternal cardiac activity, the mECG 
signal is a prominent component present in all recorded chan-
nels [33,34]. Its frequency range is 0.5–100 Hz [35].
• Fetal ECG – The fECG signal represents fetal cardiac activity 
and typically has a very low amplitude, often difficult to record 
alongside the EHG [33,36]. Its frequency range is similar to that 
of the mECG [35].
• Maternal and fetal respiration – Respiratory artifacts, especially 
those originating from the mother, are a significant source of 
interference. While they do not show large amplitude varia-
tions, they are highly disruptive because they overlap with the 
dominant frequency band of the EHG (0.1–1 Hz) [23,33].
• Electromyography noise – This interference originates from con-
tractions of the abdominal muscles. These signals have low ampli-
tude and minimal impact on the EHG, with a frequency content 
around 30 Hz [23,33].
• Motion artefacts – Movement of the mother or fetus generates",992
paper1,43,"tude and minimal impact on the EHG, with a frequency content 
around 30 Hz [23,33].
• Motion artefacts – Movement of the mother or fetus generates 
motion artifacts, which vary significantly based on the type of 
movement. The frequency range of these artifacts spans from 1 Hz 
to hundreds of Hz [14,33].
• Baseline wander – Baseline wander disrupts the stability and uni-
formity of the isoelectric line in the EHG signal. This artifact often 
results from maternal movement or poor electrode–skin contact 
and has frequency content up to 1 Hz [14].
• External electromagnetic noise – This interference arises from elec-
tromagnetic fields generated by electrical devices and power 
supply networks. It typically does not significantly affect the EHG 
signal, as its frequency range is concentrated around 50 or 60 Hz 
and their harmonics [33].
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
5 
K. Barnova et al.
Table 2",929
paper1,44,"signal, as its frequency range is concentrated around 50 or 60 Hz 
and their harmonics [33].
Artiϧcial Intelligence In Medicine 171 (2026) 103303 
5 
K. Barnova et al.
Table 2
Overview of the characteristics of uterine contractions occurring during pregnancy.
 Type of contraction
Week of 
pregnancy
Intensity
Occurrence
(nr/10 min)
Duration
(s)
Frequency band
(Hz)
Localization
 
 Alvarez waves
0–30
Very small
10
<<20
0.2–1
Anywhere in the uterus,
restricted to a small area
 
 Braxton-Hicks contr.
From 20
Small
0.04–0.06
<20
Undefined
Anywhere in the uterus
 
 Early labor contr.
From 36
High
1
20
>0.5
From the fundus of the
uterus down to the cervix
 
 Late labor contr.
During labor
Very high
3
40–90
>0.5
Stronger in the upper part, but
spreads throughout the uterus
 
 LDBF waves
Late stages
of pregnancy
Very small
Persistent
Minutes
0–1
Entire uterine muscle
 
LDBF – long duration low frequency waves, nr — number.
3. Acquisition of EHG signals",956
